,tax_year,academic_year,YAG,sex,subject_name,provider_name,earnings_median,earnings_LQ,earnings_median,earnings_UQ
0,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Askham Bryan College,17900,15000,17900,23400
1,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Bishop Burton College,18400,11700,18400,26600
2,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",BMC (Brooksby Melton College),c,c,c,c
3,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Cornwall College,c,c,c,c
4,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Guildford College of Further and Higher Education,c,c,c,c
5,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Hadlow College,18800,16100,18800,24800
6,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Leeds City College,c,c,c,c
7,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Moulton College,22400,13800,22400,32700
8,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Reaseheath College,17200,12700,17200,21500
9,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Sparsholt College,22400,17900,22400,28500
10,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Warwickshire College,23400,18000,23400,32300
11,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Aberystwyth University,18600,12800,18600,25800
12,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Anglia Ruskin University,22300,18200,22300,26300
13,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Bangor University,22300,12600,22300,25900
14,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Birkbeck College,c,c,c,c
15,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Bournemouth University,19200,16800,19200,21500
16,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Canterbury Christ Church University,c,c,c,c
17,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Cardiff Metropolitan University,27000,20400,27000,32100
18,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Glyndwr University,c,c,c,c
19,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Harper Adams University,27400,19700,27400,35000
20,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Liverpool John Moores University,27400,23000,27400,35000
21,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",London Metropolitan University,c,c,c,c
22,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",London South Bank University,26800,16400,26800,33200
23,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Oxford Brookes University,c,c,c,c
24,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Royal Agricultural University,26300,17900,26300,33600
25,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Sheffield Hallam University,28800,23000,28800,39100
26,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",SRUC,25600,21500,25600,29200
27,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Staffordshire University,19000,15700,19000,24100
28,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",Teesside University,c,c,c,c
29,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The Manchester Metropolitan University,c,c,c,c
30,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The Nottingham Trent University,19700,16800,19700,24800
31,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The Royal Veterinary College,34300,30300,34300,38300
32,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Aberdeen,c,c,c,c
33,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Brighton,25200,17900,25200,29200
34,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Bristol,c,c,c,c
35,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Central Lancashire,22300,17500,22300,27400
36,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Dundee,c,c,c,c
37,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of East Anglia,c,c,c,c
38,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Edinburgh,c,c,c,c
39,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Essex,,,,
40,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Glasgow,23000,17200,23000,30700
41,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Greenwich,20400,16100,20400,26300
42,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Huddersfield,c,c,c,c
43,2018/2019,2012/2013,5,Female + male,"Agriculture, food and related studies",The University of Kent,16800,12000,16800,24100
